,attraction_name,date,forecast
0,[Hollywood] Trolls Hug Time Jubilee,10/22/2024,4.328193412
1,[Hollywood] Trolls Hug Time Jubilee,10/23/2024,4.485268231
2,[Hollywood] Trolls Hug Time Jubilee,10/24/2024,5.106851501
3,[Hollywood] Trolls Hug Time Jubilee,10/25/2024,4.978703718
4,[Hollywood] Trolls Hug Time Jubilee,10/26/2024,6.246665623
5,[Hollywood] Trolls Hug Time Jubilee,10/27/2024,3.97457644
6,[Hollywood] Trolls Hug Time Jubilee,10/28/2024,5.211615261
7,[Hollywood] Trolls Hug Time Jubilee,10/29/2024,4.46404876
8,[Hollywood] Trolls Hug Time Jubilee,10/30/2024,4.425571998
9,[Hollywood] Trolls Hug Time Jubilee,10/31/2024,3.818782697
10,[Hollywood] Trolls Hug Time Jubilee,11/1/2024,4.805946019
11,[Hollywood] Trolls Hug Time Jubilee,11/2/2024,6.017150597
12,[Hollywood] Trolls Hug Time Jubilee,11/3/2024,3.825600062
13,[Hollywood] Trolls Hug Time Jubilee,11/4/2024,5.014872155
14,[New York] Sesame Street Spaghetti Chase,10/22/2024,20.98015435
15,[New York] Sesame Street Spaghetti Chase,10/23/2024,21.74151976
16,[New York] Sesame Street Spaghetti Chase,10/24/2024,24.75451633
17,[New York] Sesame Street Spaghetti Chase,10/25/2024,24.13329764
18,[New York] Sesame Street Spaghetti Chase,10/26/2024,30.27964912
19,[New York] Sesame Street Spaghetti Chase,10/27/2024,19.2659425
20,[New York] Sesame Street Spaghetti Chase,10/28/2024,25.26225365
21,[New York] Sesame Street Spaghetti Chase,10/29/2024,21.63854708
22,[New York] Sesame Street Spaghetti Chase,10/30/2024,21.45206141
23,[New York] Sesame Street Spaghetti Chase,10/31/2024,18.51078413
24,[New York] Sesame Street Spaghetti Chase,11/1/2024,23.29581788
25,[New York] Sesame Street Spaghetti Chase,11/2/2024,29.1670299
26,[New York] Sesame Street Spaghetti Chase,11/3/2024,18.5437576
27,[New York] Sesame Street Spaghetti Chase,11/4/2024,24.30851278
